Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Oct 2",High Impact Expected,,,,,,
"Wed, Oct 2",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,166K,177K,159K
"Wed, Oct 2",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Wed, Oct 2",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,5.5M,2.4M,2.6M
"Wed, Oct 2",12:00pm,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
"Wed, Oct 2",3:20pm,USD,Low Impact Expected,FOMC Member Bullard Speaks,,,
"Wed, Oct 2",3:30pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Wed, Oct 2",7:30pm,AUD,Low Impact Expected,AIG Services Index,47.1,39.0,
"Wed, Oct 2",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Oct 2",8:55pm,CNY,Medium Impact Expected,Non-Manufacturing PMI,55.4,53.9,
"Thu, Oct 3",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Thu, Oct 3",3:00am,GBP,Medium Impact Expected,Halifax HPI m/m,0.3%,0.6%,0.3%
"Thu, Oct 3",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,49.0,50.9,50.4
"Thu, Oct 3",3:45am,EUR,Medium Impact Expected,Italian Services PMI,52.7,49.3,48.8
"Thu, Oct 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,51.0,50.7,50.7
"Thu, Oct 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,53.7,54.4,54.4
"Thu, Oct 3",4:00am,EUR,Low Impact Expected,Final Services PMI,52.2,52.1,52.1
"Thu, Oct 3",4:30am,GBP,High Impact Expected,Final Services PMI,60.3,60.4,60.5
"Thu, Oct 3",4:44am,EUR,Medium Impact Expected,Spanish 10-y Bond Auction,4.27|2.0,4.50|2.0,
"Thu, Oct 3",4:57am,EUR,Medium Impact Expected,French 10-y Bond Auction,2.37|1.9,2.57|1.9,
