Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Jun 2",Non-Economic,,,,,,
"Wed, Jun 2",10:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
"Wed, Jun 2",10:00am,USD,High Impact Expected,Pending Home Sales m/m,6.0%,4.9%,7.1%
"Wed, Jun 2",All Day,USD,Low Impact Expected,Total Vehicle Sales,11.6M,11.4M,11.2M
"Wed, Jun 2",7:30pm,AUD,Medium Impact Expected,AIG Services Index,47.5,52.3,
"Wed, Jun 2",7:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-11.5%,-9.5%,-17.3%
"Wed, Jun 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,62.7,63.0,
"Wed, Jun 2",9:30pm,AUD,High Impact Expected,Goods Trade Balance,0.13B,-0.62B,-2.04B
"Thu, Jun 3",2:00am,GBP,High Impact Expected,Nationwide HPI m/m,0.5%,0.5%,1.1%
"Thu, Jun 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,52.3,50.9,
"Thu, Jun 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,53.7,54.9,54.5
"Thu, Jun 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,61.4,61.9,61.9
"Thu, Jun 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,54.8,53.7,53.7
"Thu, Jun 3",4:00am,EUR,Low Impact Expected,Final Services PMI,56.2,56.0,56.0
"Thu, Jun 3",4:30am,GBP,High Impact Expected,Final Services PMI,55.4,55.6,55.3
"Thu, Jun 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-1.2%,0.1%,0.5%
"Thu, Jun 3",5:12am,EUR,Medium Impact Expected,French 10-y Bond Auction,3.05|2.3,3.18|1.5,
"Thu, Jun 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,55K,68K,65K
"Thu, Jun 3",8:30am,USD,High Impact Expected,Unemployment Claims,453K,451K,463K
"Thu, Jun 3",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,2.8%,3.5%,3.6%
"Thu, Jun 3",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,-1.3%,-1.4%,-1.6%
"Thu, Jun 3",10:00am,USD,High Impact Expected,ISM Services PMI,55.4,55.7,55.4
"Thu, Jun 3",10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.2%,1.7%,1.7%
"Thu, Jun 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,88B,90B,104B
"Thu, Jun 3",11:00am,USD,Medium Impact Expected,Crude Oil Inventories,-1.9M,-0.4M,2.4M
"Thu, Jun 3",11:15am,USD,Medium Impact Expected,Fed Chairman Bernanke Speaks,,,
"Thu, Jun 3",12:15pm,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
"Thu, Jun 3",1:15pm,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
"Thu, Jun 3",Day 1,All,Medium Impact Expected,G20 Meetings,,,
"Fri, Jun 4",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,232B,154B,
"Fri, Jun 4",3:40am,CHF,Medium Impact Expected,SNB Chairman Hildebrand Speaks,,,
"Fri, Jun 4",4:00am,GBP,High Impact Expected,Halifax HPI m/m,-0.4%,0.3%,-0.1%
"Fri, Jun 4",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.2%,0.2%,0.2%
"Fri, Jun 4",7:00am,CAD,High Impact Expected,Employment Change,24.7K,16.8K,108.7K
"Fri, Jun 4",7:00am,CAD,High Impact Expected,Unemployment Rate,8.1%,8.1%,8.1%
"Fri, Jun 4",8:30am,CAD,High Impact Expected,Building Permits m/m,5.4%,-1.8%,12.3%
"Fri, Jun 4",8:30am,USD,High Impact Expected,Non-Farm Employment Change,431K,521K,290K
"Fri, Jun 4",8:30am,USD,High Impact Expected,Unemployment Rate,9.7%,9.8%,9.9%
"Fri, Jun 4",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.1%,0.1%
"Fri, Jun 4",10:00am,CAD,High Impact Expected,Ivey PMI,62.7,59.8,58.7
"Fri, Jun 4",Day 2,All,Medium Impact Expected,G20 Meetings,,,
"Sat, Jun 5",4:30am,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
"Sun, Jun 6",All Day,NZD,Non-Economic,Bank Holiday,,,
"Sun, Jun 6",7:30pm,AUD,Low Impact Expected,AIG Construction Index,53.2,55.8,
"Sun, Jun 6",9:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,4.3%,-1.2%,
"Mon, Jun 7",All Day,EUR,Medium Impact Expected,Eurogroup Meetings,,,
"Mon, Jun 7",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-4.1,-5.2,-6.4
"Mon, Jun 7",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,2.8%,-0.1%,5.1%
"Mon, Jun 7",1:50pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
"Mon, Jun 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,1.0B,1.1B,-5.4B
"Mon, Jun 7",6:45pm,NZD,Low Impact Expected,Manufacturing Sales q/q,0.9%,0.7%,
"Mon, Jun 7",7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,0.8%,-2.3%,
"Mon, Jun 7",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,-2.0%,-1.8%,
"Mon, Jun 7",7:50pm,JPY,Low Impact Expected,Current Account,1.38T,1.42T,1.77T
"Mon, Jun 7",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,3.1%,2.8%,2.9%
"Mon, Jun 7",7:55pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Mon, Jun 7",9:30pm,AUD,Medium Impact Expected,NAB Business Confidence,5,13,
"Mon, Jun 7",11:45pm,JPY,Low Impact Expected,30-y Bond Auction,2.04|2.3,2.20|3.7,
