Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Aug 2",Low Impact Expected,,,,,,
"Thu, Aug 2",5:00am,EUR,Low Impact Expected,PPI m/m,0.4%,0.3%,0.8%
"Thu, Aug 2",7:00am,GBP,High Impact Expected,BOE Monetary Policy Report,,,
"Thu, Aug 2",7:00am,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Aug 2",7:00am,GBP,High Impact Expected,MPC Official Bank Rate Votes,9-0-0,7-0-2,3-0-6
"Thu, Aug 2",7:00am,GBP,High Impact Expected,Official Bank Rate,0.75%,0.75%,0.50%
"Thu, Aug 2",7:00am,GBP,Medium Impact Expected,Asset Purchase Facility,435B,435B,435B
"Thu, Aug 2",7:00am,GBP,Medium Impact Expected,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
"Thu, Aug 2",7:30am,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
"Thu, Aug 2",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-4.2%,19.6%,
"Thu, Aug 2",8:30am,USD,Medium Impact Expected,Unemployment Claims,218K,220K,217K
"Thu, Aug 2",10:00am,USD,Low Impact Expected,Factory Orders m/m,0.7%,0.7%,0.4%
"Thu, Aug 2",10:30am,USD,Low Impact Expected,Natural Gas Storage,35B,39B,24B
"Thu, Aug 2",6:30pm,AUD,Low Impact Expected,AIG Services Index,53.6,63.0,
"Thu, Aug 2",7:50pm,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,
"Thu, Aug 2",9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.4%,0.3%,0.4%
"Thu, Aug 2",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.8,53.7,53.9
"Fri, Aug 3",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-58.9B,-55.1B,
"Fri, Aug 3",3:15am,CHF,Low Impact Expected,CPI m/m,-0.2%,-0.3%,0.0%
"Fri, Aug 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,52.6,54.4,55.4
"Fri, Aug 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,54.0,53.6,54.3
"Fri, Aug 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,54.9,55.3,55.3
"Fri, Aug 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,54.1,54.4,54.4
"Fri, Aug 3",4:00am,EUR,Low Impact Expected,Final Services PMI,54.2,54.4,54.4
"Fri, Aug 3",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,0.5%,0.4%,0.8%
"Fri, Aug 3",4:30am,GBP,High Impact Expected,Final Services PMI,53.5,54.7,55.1
"Fri, Aug 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.3%,0.4%,0.3%
"Fri, Aug 3",5:03am,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.2%,0.1%,1.1%
"Fri, Aug 3",8:30am,CAD,High Impact Expected,Trade Balance,-0.6B,-2.3B,-2.7B
"Fri, Aug 3",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.1%
"Fri, Aug 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,157K,191K,248K
"Fri, Aug 3",8:30am,USD,High Impact Expected,Unemployment Rate,3.9%,3.9%,4.0%
"Fri, Aug 3",8:30am,USD,Low Impact Expected,Trade Balance,-46.3B,-46.5B,-43.2B
"Fri, Aug 3",9:45am,USD,Low Impact Expected,Final Services PMI,56.0,56.2,56.2
"Fri, Aug 3",10:00am,USD,High Impact Expected,ISM Services PMI,55.7,58.6,59.1
"Sun, Aug 5",All Day,AUD,Non-Economic,Bank Holiday,,,
"Sun, Aug 5",9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.1%,0.0%,
"Sun, Aug 5",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-3.2%,-0.9%,
"Sun, Aug 5",9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,1.5%,-1.7%,
"Mon, Aug 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-4.0%,-0.3%,2.6%
"Mon, Aug 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,14.7,12.8,12.1
"Mon, Aug 6",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Aug 6",2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
"Mon, Aug 6",6:30pm,AUD,Low Impact Expected,AIG Construction Index,52.0,50.6,
"Mon, Aug 6",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.5%,1.3%,1.1%
"Mon, Aug 6",7:30pm,JPY,Low Impact Expected,Household Spending y/y,-1.2%,-1.2%,-3.9%
"Mon, Aug 6",8:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,3.6%,1.7%,2.1%
"Tue, Aug 7",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Aug 7",12:30am,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Tue, Aug 7",1:00am,JPY,Low Impact Expected,Leading Indicators,105.2%,105.4%,106.9%
"Tue, Aug 7",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,-0.9%,-0.5%,2.4%
"Tue, Aug 7",2:00am,EUR,Low Impact Expected,German Trade Balance,19.3B,21.4B,20.4B
"Tue, Aug 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-6.2B,-5.6B,-6.0B
"Tue, Aug 7",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,750B,748B,
"Tue, Aug 7",3:30am,GBP,Medium Impact Expected,Halifax HPI m/m,1.4%,0.2%,0.9%
"Tue, Aug 7",10:00am,CAD,Medium Impact Expected,Ivey PMI,61.8,64.2,63.1
"Tue, Aug 7",10:00am,USD,Low Impact Expected,JOLTS Job Openings,6.66M,6.74M,6.66M
"Tue, Aug 7",10:01am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,58.0,57.2,56.4
"Tue, Aug 7",10:15am,NZD,Medium Impact Expected,GDT Price Index,0.0%,-1.7%,
"Tue, Aug 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,10.2B,16.2B,24.3B
"Tue, Aug 7",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,2.0%,2.3%,2.2%
"Tue, Aug 7",7:50pm,JPY,Low Impact Expected,BOJ Summary of Opinions,,,
"Tue, Aug 7",7:50pm,JPY,Low Impact Expected,Current Account,1.76T,1.84T,1.85T
"Tue, Aug 7",9:30pm,AUD,Low Impact Expected,Home Loans m/m,-1.1%,0.1%,1.0%
"Tue, Aug 7",11:00pm,NZD,High Impact Expected,Inflation Expectations q/q,2.04%,2.01%,
"Tue, Aug 7",11:01pm,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,
"Tue, Aug 7",11:05pm,CNY,Medium Impact Expected,Trade Balance,177B,229B,262B
"Tue, Aug 7",11:14pm,CNY,Low Impact Expected,USD-Denominated Trade Balance,28.1B,39.1B,41.6B
"Wed, Aug 8",1:02am,JPY,Low Impact Expected,Economy Watchers Sentiment,46.6,47.8,48.1
"Wed, Aug 8",5:36am,GBP,Low Impact Expected,10-y Bond Auction,1.46|2.2,1.43|2.3,
"Wed, Aug 8",8:30am,CAD,Low Impact Expected,Building Permits m/m,-2.3%,-0.1%,4.8%
