Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Aug 2",High Impact Expected,,,,,,
"Tue, Aug 2",10:10am,NZD,High Impact Expected,GDT Price Index,6.6%,0.0%,
"Tue, Aug 2",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.8M,17.3M,17.0M
"Tue, Aug 2",All Day,USD,Low Impact Expected,Total Vehicle Sales,17.9M,17.1M,16.7M
"Tue, Aug 2",6:45pm,NZD,Low Impact Expected,Labor Cost Index q/q,0.4%,0.4%,0.4%
"Tue, Aug 2",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.6%,-2.0%,
"Tue, Aug 2",7:30pm,AUD,Low Impact Expected,AIG Services Index,53.9,51.3,
"Tue, Aug 2",7:50pm,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,
"Tue, Aug 2",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.0%,3.7%,
"Tue, Aug 2",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,51.7,52.9,52.7
"Wed, Aug 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.1,55.1,56.0
"Wed, Aug 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,52.0,51.1,51.9
"Wed, Aug 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,50.5,50.3,50.3
"Wed, Aug 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,54.4,54.6,54.6
"Wed, Aug 3",4:00am,EUR,Low Impact Expected,Final Services PMI,52.9,52.8,52.7
"Wed, Aug 3",4:30am,GBP,High Impact Expected,Final Services PMI,47.4,47.4,47.4
"Wed, Aug 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.0%,0.0%,0.4%
"Wed, Aug 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,179K,171K,176K
"Wed, Aug 3",9:45am,USD,Low Impact Expected,Final Services PMI,51.4,51.0,50.9
"Wed, Aug 3",10:00am,USD,High Impact Expected,ISM Services PMI,55.5,56.0,56.5
