Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Oct 3",Non-Economic,,,,,,
"Mon, Oct 3",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,-0.06|3.8,-0.05|3.7,
"Tue, Oct 4",1:00am,JPY,Low Impact Expected,Consumer Confidence,43.0,41.8,42.0
"Tue, Oct 4",1:30am,AUD,Low Impact Expected,Commodity Prices y/y,3.1%,0.3%,
"Tue, Oct 4",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,22.8K,23.5K,14.4K
"Tue, Oct 4",4:30am,GBP,High Impact Expected,Construction PMI,52.3,49.1,49.2
"Tue, Oct 4",5:00am,EUR,Low Impact Expected,PPI m/m,-0.2%,0.0%,0.3%
"Tue, Oct 4",10:06am,NZD,High Impact Expected,GDT Price Index,-3.0%,1.7%,
"Tue, Oct 4",6:30pm,AUD,Low Impact Expected,AIG Services Index,48.9,45.0,
"Tue, Oct 4",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.8%,-2.0%,
"Tue, Oct 4",8:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,5.1%,3.2%,
"Tue, Oct 4",All Day,CNY,Non-Economic,Bank Holiday,,,
"Tue, Oct 4",8:30pm,AUD,High Impact Expected,Retail Sales m/m,0.4%,0.2%,0.0%
"Wed, Oct 5",1:30am,AUD,Medium Impact Expected,RBA Assist Gov Kent Speaks,,,
"Wed, Oct 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.7,54.8,56.0
"Wed, Oct 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,50.7,52.1,52.3
"Wed, Oct 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,53.3,54.1,54.1
"Wed, Oct 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,50.9,50.6,50.6
"Wed, Oct 5",4:00am,EUR,Low Impact Expected,Final Services PMI,52.2,52.1,52.1
"Wed, Oct 5",4:30am,GBP,High Impact Expected,Final Services PMI,52.6,52.1,52.9
"Wed, Oct 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-0.1%,-0.1%,0.3%
"Wed, Oct 5",5:34am,EUR,Low Impact Expected,German 10-y Bond Auction,-0.03|1.4,-0.11|1.1,
"Wed, Oct 5",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,154K,166K,175K
"Wed, Oct 5",8:30am,CAD,High Impact Expected,Trade Balance,-1.9B,-2.5B,-2.2B
"Wed, Oct 5",8:30am,USD,Medium Impact Expected,Trade Balance,-40.7B,-41.1B,-39.5B
"Wed, Oct 5",9:45am,USD,Low Impact Expected,Final Services PMI,52.3,51.9,51.9
"Wed, Oct 5",10:00am,USD,High Impact Expected,ISM Services PMI,57.1,53.1,51.4
"Wed, Oct 5",10:00am,USD,Medium Impact Expected,Factory Orders m/m,0.2%,-0.4%,1.4%
"Wed, Oct 5",10:30am,USD,High Impact Expected,Crude Oil Inventories,-3.0M,1.1M,-1.9M
"Wed, Oct 5",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Oct 5",8:30pm,AUD,High Impact Expected,Goods Trade Balance,-2.01B,-2.32B,-2.12B
"Thu, Oct 6",2:00am,EUR,Medium Impact Expected,German Factory Orders m/m,1.0%,0.3%,0.3%
"Thu, Oct 6",3:15am,CHF,Low Impact Expected,CPI m/m,0.1%,0.2%,-0.1%
"Thu, Oct 6",4:10am,EUR,Low Impact Expected,Retail PMI,49.6,51.0,
"Thu, Oct 6",4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-12.6B,-5.4B,-5.1B
"Thu, Oct 6",4:47am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.07|1.8,1.13|2.2,
"Thu, Oct 6",4:58am,EUR,Low Impact Expected,French 10-y Bond Auction,0.28|3.1,0.26|2.1,
"Thu, Oct 6",5:36am,GBP,Low Impact Expected,30-y Bond Auction,1.49|2.2,1.53|1.9,
"Thu, Oct 6",7:30am,EUR,Medium Impact Expected,ECB Monetary Policy Meeting Accounts,,,
"Thu, Oct 6",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-24.7%,-21.8%,
"Thu, Oct 6",8:30am,CAD,Medium Impact Expected,Building Permits m/m,10.4%,1.1%,3.4%
"Thu, Oct 6",8:30am,USD,High Impact Expected,Unemployment Claims,249K,255K,254K
"Thu, Oct 6",10:30am,USD,Low Impact Expected,Natural Gas Storage,80B,67B,49B
"Thu, Oct 6",11:50am,CAD,Medium Impact Expected,Gov Council Member Wilkins Speaks,,,
"Thu, Oct 6",6:30pm,AUD,Low Impact Expected,AIG Construction Index,51.4,46.6,
"Thu, Oct 6",8:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,-0.1%,0.5%,1.2%
"Thu, Oct 6",All Day,CNY,Non-Economic,Bank Holiday,,,
"Fri, Oct 7",1:00am,JPY,Low Impact Expected,Leading Indicators,101.2%,101.7%,100.0%
"Fri, Oct 7",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,2.5%,1.1%,-1.5%
"Fri, Oct 7",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-96.0B,-80.8B,
"Fri, Oct 7",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,2.1%,0.7%,-0.5%
"Fri, Oct 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-4.3B,-4.3B,-4.3B
