Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Nov 3",Low Impact Expected,,,,,,
"Wed, Nov 3",4:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-0.7K,21.2K,-76.1K
"Wed, Nov 3",5:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,9.2%,9.3%,9.3%
"Wed, Nov 3",5:30am,GBP,Low Impact Expected,Final Services PMI,59.1,58.0,58.0
"Wed, Nov 3",6:00am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Wed, Nov 3",6:00am,EUR,Low Impact Expected,Unemployment Rate,7.4%,7.4%,7.5%
"Wed, Nov 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,571K,400K,523K
"Wed, Nov 3",9:00am,CAD,Low Impact Expected,Gov Council Member Gravelle Speaks,,,
"Wed, Nov 3",9:45am,USD,Low Impact Expected,Final Services PMI,58.7,58.2,58.2
"Wed, Nov 3",10:00am,USD,High Impact Expected,ISM Services PMI,66.7,61.9,61.9
"Wed, Nov 3",10:00am,USD,Low Impact Expected,Factory Orders m/m,0.2%,0.1%,1.0%
"Wed, Nov 3",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,3.3M,1.9M,4.3M
"Wed, Nov 3",12:00pm,GBP,Medium Impact Expected,BOE Gov Bailey Speaks,,,
"Wed, Nov 3",2:00pm,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%
"Wed, Nov 3",2:00pm,USD,High Impact Expected,FOMC Statement,,,
"Wed, Nov 3",2:30pm,USD,High Impact Expected,FOMC Press Conference,,,
"Wed, Nov 3",8:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.1%,1.5%,
"Wed, Nov 3",8:30pm,AUD,Low Impact Expected,Goods Trade Balance,12.24B,12.25B,14.74B
"Thu, Nov 4",3:00am,EUR,Low Impact Expected,German Factory Orders m/m,1.3%,1.7%,-8.8%
"Thu, Nov 4",4:00am,CHF,Low Impact Expected,SECO Consumer Climate,4,7,8
"Thu, Nov 4",4:15am,EUR,Low Impact Expected,Spanish Services PMI,56.6,55.7,56.9
"Thu, Nov 4",4:45am,EUR,Low Impact Expected,Italian Services PMI,52.4,54.6,55.5
"Thu, Nov 4",4:50am,EUR,Low Impact Expected,French Final Services PMI,56.6,56.6,56.6
"Thu, Nov 4",4:55am,EUR,Low Impact Expected,German Final Services PMI,52.4,52.4,52.4
"Thu, Nov 4",5:00am,EUR,Low Impact Expected,Final Services PMI,54.6,54.7,54.7
"Thu, Nov 4",5:30am,GBP,Low Impact Expected,Construction PMI,54.6,52.0,52.6
"Thu, Nov 4",5:50am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,0.48|1.3,0.45|1.4,
"Thu, Nov 4",6:00am,EUR,Low Impact Expected,French 10-y Bond Auction,0.16|1.8,0.15|2.1,
"Thu, Nov 4",6:00am,EUR,Low Impact Expected,PPI m/m,2.7%,2.3%,1.1%
"Thu, Nov 4",All Day,All,High Impact Expected,OPEC-JMMC Meetings,,,
"Thu, Nov 4",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-71.7%,-84.9%,
"Thu, Nov 4",8:00am,GBP,High Impact Expected,Asset Purchase Facility,875B,875B,875B
"Thu, Nov 4",8:00am,GBP,High Impact Expected,BOE Monetary Policy Report,,,
"Thu, Nov 4",8:00am,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Nov 4",8:00am,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-3-6,0-2-7,0-2-7
"Thu, Nov 4",8:00am,GBP,High Impact Expected,MPC Official Bank Rate Votes,2-0-7,0-0-9,0-0-9
"Thu, Nov 4",8:00am,GBP,High Impact Expected,Official Bank Rate,0.10%,0.10%,0.10%
"Thu, Nov 4",8:30am,CAD,Low Impact Expected,Trade Balance,1.9B,1.5B,1.5B
"Thu, Nov 4",8:30am,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,
"Thu, Nov 4",8:30am,USD,Medium Impact Expected,Unemployment Claims,269K,273K,283K
"Thu, Nov 4",8:30am,USD,Low Impact Expected,Prelim Nonfarm Productivity q/q,-5.0%,-3.2%,2.1%
"Thu, Nov 4",8:30am,USD,Low Impact Expected,Prelim Unit Labor Costs q/q,8.3%,7.1%,1.3%
"Thu, Nov 4",8:30am,USD,Low Impact Expected,Trade Balance,-80.9B,-80.1B,-72.8B
"Thu, Nov 4",9:00am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Thu, Nov 4",10:30am,USD,Low Impact Expected,Natural Gas Storage,63B,67B,87B
"Thu, Nov 4",12:50pm,GBP,Low Impact Expected,MPC Member Cunliffe Speaks,,,
"Thu, Nov 4",5:30pm,AUD,Low Impact Expected,AIG Services Index,47.6,45.7,
"Thu, Nov 4",7:30pm,JPY,Low Impact Expected,Household Spending y/y,-1.9%,-3.5%,-3.0%
"Thu, Nov 4",8:30pm,AUD,Medium Impact Expected,RBA Monetary Policy Statement,,,
"Fri, Nov 5",3:00am,EUR,Low Impact Expected,German Industrial Production m/m,-1.1%,1.1%,-3.5%
"Fri, Nov 5",3:00am,GBP,Low Impact Expected,Halifax HPI m/m,0.9%,0.7%,1.7%
"Fri, Nov 5",3:45am,EUR,Low Impact Expected,French Industrial Production m/m,-1.3%,0.0%,1.0%
"Fri, Nov 5",3:45am,EUR,Low Impact Expected,French Prelim Private Payrolls q/q,0.5%,0.6%,1.4%
"Fri, Nov 5",4:00am,CHF,Low Impact Expected,Foreign Currency Reserves,923B,939B,
"Fri, Nov 5",5:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,0.8%,0.2%,0.8%
