Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Oct 2",High Impact Expected,,,,,,
"Tue, Oct 2",9:30pm,AUD,High Impact Expected,Goods Trade Balance,-1.61B,-1.46B,-0.88B
"Tue, Oct 2",9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.7%,0.3%,0.8%
"Wed, Oct 3",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Wed, Oct 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,53.9,54.1,56.2
"Wed, Oct 3",4:00am,EUR,Low Impact Expected,Final Services PMI,54.2,54.0,54.0
"Wed, Oct 3",4:30am,GBP,Medium Impact Expected,Final Services PMI,56.7,56.7,57.6
"Wed, Oct 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.4%,0.4%
"Wed, Oct 3",5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.4%,0.4%,
"Wed, Oct 3",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,21.7%,15.4%,
"Wed, Oct 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,58K,53K,27K
"Wed, Oct 3",10:00am,USD,High Impact Expected,ISM Services PMI,54.8,55.0,55.8
"Wed, Oct 3",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,1.1M,-0.5M,1.8M
"Wed, Oct 3",7:30pm,AUD,Low Impact Expected,AIG Services Index,56.4,51.6,
"Wed, Oct 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Oct 3",9:30pm,AUD,High Impact Expected,Building Approvals m/m,-1.7%,-0.5%,0.2%
"Wed, Oct 3",10:08pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.4%,1.4%,
"Wed, Oct 3",10:25pm,CAD,Medium Impact Expected,Gov Council Member Longworth Speaks,,,
"Thu, Oct 4",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,49B,47B,
"Thu, Oct 4",3:15am,EUR,Low Impact Expected,Spanish Services PMI,52.4,53.5,
"Thu, Oct 4",4:00am,GBP,High Impact Expected,Halifax HPI m/m,-0.6%,0.4%,0.3%
"Thu, Oct 4",6:01am,EUR,Low Impact Expected,French 10-y Bond Auction,4.44|4.0,4.35|2.3,
"Thu, Oct 4",7:00am,GBP,High Impact Expected,Official Bank Rate,5.75%,5.75%,5.75%
"Thu, Oct 4",7:45am,EUR,Medium Impact Expected,Main Refinancing Rate,4.00%,4.00%,4.00%
"Thu, Oct 4",8:30am,CAD,Medium Impact Expected,Building Permits m/m,1.4%,1.5%,-10.6%
"Thu, Oct 4",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Oct 4",8:30am,USD,Medium Impact Expected,Unemployment Claims,317K,310K,301K
"Thu, Oct 4",10:00am,CAD,High Impact Expected,Ivey PMI,56.0,60.0,58.5
"Thu, Oct 4",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-3.3%,-2.6%,3.4%
"Thu, Oct 4",10:30am,USD,Low Impact Expected,Natural Gas Storage,57B,64B,74B
"Thu, Oct 4",11:30am,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Thu, Oct 4",All Day,CNY,Non-Economic,Bank Holiday,,,
"Fri, Oct 5",1:00am,JPY,Low Impact Expected,Leading Indicators,30.0%,30.0%,72.7%
"Fri, Oct 5",7:00am,CAD,High Impact Expected,Employment Change,51.1K,16.5K,23.3K
