Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, May 2",Medium Impact Expected,,,,,,
"Wed, May 2",11:00am,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
"Wed, May 2",1:30pm,GBP,Medium Impact Expected,BOE Gov King Speaks,,,
"Wed, May 2",7:30pm,AUD,Low Impact Expected,AIG Services Index,52.8,50.6,
"Wed, May 2",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, May 2",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, May 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,65.6,59.6,
"Wed, May 2",11:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,4.8%,2.0%,
"Thu, May 3",1:45am,CHF,High Impact Expected,CPI m/m,1.1%,0.8%,0.1%
"Thu, May 3",4:30am,GBP,Medium Impact Expected,Final Services PMI,57.2,57.6,57.6
"Thu, May 3",5:00am,EUR,Low Impact Expected,PPI m/m,0.3%,0.3%,0.3%
"Thu, May 3",8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,1.7%,0.7%,1.6%
"Thu, May 3",8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,0.6%,3.8%,6.6%
"Thu, May 3",8:30am,USD,Low Impact Expected,Unemployment Claims,305K,324K,326K
"Thu, May 3",10:00am,USD,High Impact Expected,ISM Services PMI,56.0,53.2,52.4
"Thu, May 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,87B,81B,18B
"Thu, May 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Thu, May 3",All Day,JPY,Non-Economic,Bank Holiday,,,
"Thu, May 3",9:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
"Thu, May 3",9:30pm,AUD,Medium Impact Expected,Goods Trade Balance,-1.62B,-1.02B,-0.73B
"Fri, May 4",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,45B,45B,
"Fri, May 4",3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-36.3K,-15.8K,
"Fri, May 4",3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.2,56.7,
"Fri, May 4",3:45am,EUR,Low Impact Expected,Italian Services PMI,53.9,54.6,54.1
"Fri, May 4",4:00am,EUR,Low Impact Expected,Final Services PMI,57.0,57.6,57.4
"Fri, May 4",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.5%,0.5%,0.4%
"Fri, May 4",8:30am,USD,High Impact Expected,Non-Farm Employment Change,88K,107K,177K
"Fri, May 4",8:30am,USD,High Impact Expected,Unemployment Rate,4.5%,4.5%,4.4%
"Fri, May 4",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.3%,0.3%
"Fri, May 4",9:45am,USD,Low Impact Expected,FOMC Member Geithner Speaks,,,
"Fri, May 4",10:00am,CAD,High Impact Expected,Ivey PMI,60.9,57.5,67.3
"Fri, May 4",12:15pm,AUD,Medium Impact Expected,RBA Deputy Gov Lowe Speaks,,,
"Sun, May 6",All Day,EUR,Medium Impact Expected,French Presidential Election,,,
"Sun, May 6",6:45pm,NZD,High Impact Expected,Labor Cost Index q/q,0.7%,0.8%,0.9%
"Sun, May 6",7:30pm,AUD,Low Impact Expected,AIG Construction Index,47.9,51.1,
"Sun, May 6",7:50pm,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
"Sun, May 6",All Day,CNY,Non-Economic,Bank Holiday,,,
"Sun, May 6",9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,3.5%,1.9%,
"Sun, May 6",9:30pm,AUD,Low Impact Expected,NAB Business Confidence,13,10,
"Mon, May 7",1:45am,CHF,Low Impact Expected,Unemployment Rate,2.9%,2.8%,2.9%
"Mon, May 7",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, May 7",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Mon, May 7",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,40.8,37.3,34.7
"Mon, May 7",5:45am,EUR,Low Impact Expected,EU Economic Forecasts,,,
"Mon, May 7",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,2.4%,-0.4%,4.3%
"Mon, May 7",8:30am,CAD,Medium Impact Expected,Building Permits m/m,27.4%,2.9%,-23.3%
"Mon, May 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,13.5B,4.2B,5.6B
"Mon, May 7",9:30pm,AUD,High Impact Expected,Building Approvals m/m,-11.4%,-4.8%,9.0%
"Mon, May 7",9:30pm,AUD,High Impact Expected,Retail Sales m/m,1.1%,0.5%,0.9%
"Mon, May 7",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.65|4.0,1.66|3.1,
"Tue, May 8",All Day,EUR,Non-Economic,French Bank Holiday,,,
